"x","y","bio_flux_opt","yymm"
140.5,89.5,0,"201201"
141.5,89.5,0,"201201"
142.5,89.5,0,"201201"
143.5,89.5,0,"201201"
144.5,89.5,0,"201201"
145.5,89.5,0,"201201"
146.5,89.5,0,"201201"
147.5,89.5,0,"201201"
148.5,89.5,0,"201201"
149.5,89.5,0,"201201"
150.5,89.5,0,"201201"
151.5,89.5,0,"201201"
152.5,89.5,0,"201201"
153.5,89.5,0,"201201"
154.5,89.5,0,"201201"
155.5,89.5,0,"201201"
156.5,89.5,0,"201201"
157.5,89.5,0,"201201"
158.5,89.5,0,"201201"
159.5,89.5,0,"201201"
160.5,89.5,0,"201201"
161.5,89.5,0,"201201"
162.5,89.5,0,"201201"
163.5,89.5,0,"201201"
164.5,89.5,0,"201201"
165.5,89.5,0,"201201"
166.5,89.5,0,"201201"
167.5,89.5,0,"201201"
168.5,89.5,0,"201201"
169.5,89.5,0,"201201"
170.5,89.5,0,"201201"
171.5,89.5,0,"201201"
172.5,89.5,0,"201201"
173.5,89.5,0,"201201"
174.5,89.5,0,"201201"
175.5,89.5,0,"201201"
176.5,89.5,0,"201201"
177.5,89.5,0,"201201"
178.5,89.5,0,"201201"
179.5,89.5,0,"201201"
-179.5,88.5,0,"201201"
-178.5,88.5,0,"201201"
-177.5,88.5,0,"201201"
-176.5,88.5,0,"201201"
-175.5,88.5,0,"201201"
-174.5,88.5,0,"201201"
-173.5,88.5,0,"201201"
-172.5,88.5,0,"201201"
-171.5,88.5,0,"201201"
-170.5,88.5,0,"201201"
-169.5,88.5,0,"201201"
-168.5,88.5,0,"201201"
-167.5,88.5,0,"201201"
-166.5,88.5,0,"201201"
-165.5,88.5,0,"201201"
-164.5,88.5,0,"201201"
-163.5,88.5,0,"201201"
-162.5,88.5,0,"201201"
-161.5,88.5,0,"201201"
-160.5,88.5,0,"201201"
-159.5,88.5,0,"201201"
-158.5,88.5,0,"201201"
-157.5,88.5,0,"201201"
-156.5,88.5,0,"201201"
-155.5,88.5,0,"201201"
-154.5,88.5,0,"201201"
-153.5,88.5,0,"201201"
-152.5,88.5,0,"201201"
-151.5,88.5,0,"201201"
-150.5,88.5,0,"201201"
-149.5,88.5,0,"201201"
-148.5,88.5,0,"201201"
-147.5,88.5,0,"201201"
-146.5,88.5,0,"201201"
-145.5,88.5,0,"201201"
-144.5,88.5,0,"201201"
-143.5,88.5,0,"201201"
-142.5,88.5,0,"201201"
-141.5,88.5,0,"201201"
-140.5,88.5,0,"201201"
-139.5,88.5,0,"201201"
-138.5,88.5,0,"201201"
-137.5,88.5,0,"201201"
-136.5,88.5,0,"201201"
-135.5,88.5,0,"201201"
-134.5,88.5,0,"201201"
-133.5,88.5,0,"201201"
-132.5,88.5,0,"201201"
-131.5,88.5,0,"201201"
-130.5,88.5,0,"201201"
-129.5,88.5,0,"201201"
