"x","y","bio_flux_opt","ocn_flux_opt","fossil_flux_imp","fire_flux_imp","tot"
-78.5,89.5,0,0,6.83600051802529e-12,0,0
-77.5,89.5,0,0,6.81153095518666e-12,0,0
-76.5,89.5,0,0,6.79103588984439e-12,0,0
-75.5,89.5,0,0,6.77496151195664e-12,0,0
-74.5,89.5,0,0,6.76321825383476e-12,0,0
-73.5,89.5,0,0,6.75518079014336e-12,0,0
-72.5,89.5,0,0,6.75156456340152e-12,0,0
-71.5,89.5,0,0,6.75201075335962e-12,0,0
-70.5,89.5,0,0,6.75656551759958e-12,0,0
-69.5,89.5,0,0,6.76509368034596e-12,0,0
-68.5,89.5,0,0,2.79348780259592e-09,0,0
-67.5,89.5,0,0,6.79505489643761e-12,0,0
-66.5,89.5,0,0,6.81630881440564e-12,0,0
-65.5,89.5,0,0,6.84158173896691e-12,0,0
-64.5,89.5,0,0,6.87131986007955e-12,0,0
-63.5,89.5,0,0,6.9057012141307e-12,0,0
-62.5,89.5,0,0,6.94481591830408e-12,0,0
-61.5,89.5,0,0,6.98723473604661e-12,0,0
-60.5,89.5,0,0,7.03652993449833e-12,0,0
-59.5,89.5,0,0,7.088012672634e-12,0,0
-58.5,89.5,0,0,7.14623826418834e-12,0,0
-57.5,89.5,0,0,7.20968790491993e-12,0,0
-56.5,89.5,0,0,7.27764780079463e-12,0,0
-55.5,89.5,0,0,7.35170599242696e-12,0,0
-54.5,89.5,0,0,0,0,0
-53.5,89.5,0,0,0,0,0
-52.5,89.5,0,0,0,0,0
-51.5,89.5,0,0,0,0,0
-50.5,89.5,0,0,0,0,0
-49.5,89.5,0,0,0,0,0
-48.5,89.5,0,0,0,0,0
-47.5,89.5,0,0,0,0,0
-46.5,89.5,0,0,0,0,0
-45.5,89.5,0,0,0,0,0
-44.5,89.5,0,0,0,0,0
-43.5,89.5,0,0,0,0,0
-42.5,89.5,0,0,0,0,0
-41.5,89.5,0,0,0,0,0
-40.5,89.5,0,0,0,0,0
-39.5,89.5,0,0,0,0,0
-38.5,89.5,0,0,0,0,0
-37.5,89.5,0,0,0,0,0
-36.5,89.5,0,0,0,0,0
-35.5,89.5,0,0,0,0,0
-34.5,89.5,0,0,0,0,0
-33.5,89.5,0,0,0,0,0
-32.5,89.5,0,0,0,0,0
-31.5,89.5,0,0,0,0,0
-30.5,89.5,0,0,0,0,0
-29.5,89.5,0,0,0,0,0
-28.5,89.5,0,0,0,0,0
-27.5,89.5,0,0,0,0,0
-26.5,89.5,0,0,1.78152567182041e-09,0,0
-25.5,89.5,0,0,0,0,0
-24.5,89.5,0,0,0,0,0
-23.5,89.5,0,0,1.2169536666278e-09,0,0
-22.5,89.5,0,0,0,0,0
-21.5,89.5,0,0,0,0,0
-20.5,89.5,0,0,0,0,0
-19.5,89.5,0,0,0,0,0
-18.5,89.5,0,0,0,0,0
-17.5,89.5,0,0,0,0,0
-16.5,89.5,0,0,0,0,0
-15.5,89.5,0,0,0,0,0
-14.5,89.5,0,0,3.19971784967384e-09,0,0
-13.5,89.5,0,0,0,0,0
-12.5,89.5,0,0,1.7317720538493e-09,0,0
-11.5,89.5,0,0,0,0,0
-10.5,89.5,0,0,0,0,0
-9.5,89.5,0,0,0,0,0
-8.5,89.5,0,0,0,0,0
-7.5,89.5,0,0,0,0,0
-6.5,89.5,0,0,1.42332300190304e-09,0,0
-5.5,89.5,0,0,0,0,0
-4.5,89.5,0,0,0,0,0
-3.5,89.5,0,0,0,0,0
-2.5,89.5,0,0,0,0,0
-1.5,89.5,0,0,0,0,0
-0.5,89.5,0,0,0,0,0
0.5,89.5,0,0,0,0,0
1.5,89.5,0,0,0,0,0
2.5,89.5,0,0,0,0,0
3.5,89.5,0,0,0,0,0
4.5,89.5,0,0,0,0,0
5.5,89.5,0,0,0,0,0
6.5,89.5,0,0,6.36365075477514e-09,0,0
7.5,89.5,0,0,0,0,0
8.5,89.5,0,0,0,0,0
9.5,89.5,0,0,0,0,0
10.5,89.5,0,0,0,0,0
11.5,89.5,0,0,0,0,0
12.5,89.5,0,0,0,0,0
13.5,89.5,0,0,0,0,0
14.5,89.5,0,0,0,0,0
15.5,89.5,0,0,6.62808456966425e-10,0,0
16.5,89.5,0,0,0,0,0
17.5,89.5,0,0,0,0,0
18.5,89.5,0,0,0,0,0
19.5,89.5,0,0,0,0,0
20.5,89.5,0,0,0,0,0
21.5,89.5,0,0,0,0,0
22.5,89.5,0,0,0,0,0
23.5,89.5,0,0,0,0,0
24.5,89.5,0,0,0,0,0
25.5,89.5,0,0,0,0,0
26.5,89.5,0,0,0,0,0
27.5,89.5,0,0,0,0,0
28.5,89.5,0,0,0,0,0
29.5,89.5,0,0,0,0,0
30.5,89.5,0,0,0,0,0
31.5,89.5,0,0,0,0,0
32.5,89.5,0,0,0,0,0
33.5,89.5,0,0,3.06345637752358e-10,0,0
34.5,89.5,0,0,0,0,0
35.5,89.5,0,0,0,0,0
36.5,89.5,0,0,0,0,0
37.5,89.5,0,0,3.06360592808885e-10,0,0
38.5,89.5,0,0,0,0,0
39.5,89.5,0,0,0,0,0
40.5,89.5,0,0,0,0,0
41.5,89.5,0,0,0,0,0
42.5,89.5,0,0,0,0,0
43.5,89.5,0,0,0,0,0
44.5,89.5,0,0,0,0,0
45.5,89.5,0,0,0,0,0
46.5,89.5,0,0,0,0,0
47.5,89.5,0,0,0,0,0
48.5,89.5,0,0,0,0,0
49.5,89.5,0,0,0,0,0
50.5,89.5,0,0,0,0,0
51.5,89.5,0,0,0,0,0
52.5,89.5,0,0,0,0,0
53.5,89.5,0,0,0,0,0
54.5,89.5,0,0,0,0,0
55.5,89.5,0,0,0,0,0
56.5,89.5,0,0,0,0,0
57.5,89.5,0,0,0,0,0
58.5,89.5,0,0,0,0,0
59.5,89.5,0,0,0,0,0
60.5,89.5,0,0,0,0,0
61.5,89.5,0,0,0,0,0
62.5,89.5,0,0,0,0,0
63.5,89.5,0,0,0,0,0
64.5,89.5,0,0,0,0,0
65.5,89.5,0,0,0,0,0
66.5,89.5,0,0,0,0,0
67.5,89.5,0,0,0,0,0
68.5,89.5,0,0,0,0,0
69.5,89.5,0,0,0,0,0
70.5,89.5,0,0,0,0,0
71.5,89.5,0,0,0,0,0
72.5,89.5,0,0,0,0,0
73.5,89.5,0,0,0,0,0
74.5,89.5,0,0,0,0,0
